Year,Country,Region,Import,Export,Total,Trade Balance,GDP,Population,Quality of overall infrastructure,Quality of roads,Quality of railroad infrastructure,Quality of port infrastructure,Quality of air transport infrastructure,gdp_per_capita
2007,Bangladesh,South Asia,17622872.861,13142952.925,30765825.786000002,-4479919.936000001,584.5,147139.191,3.5,0.0,0,0.0,0.0,0.003972429072278915
2010,Bangladesh,South Asia,30503835.497,19230982.559,49734818.056,-11272852.938000001,807.531,152149.102,3.1,3.5,3.8,3.1,30.0,0.005307497641359723
2012,Bangladesh,South Asia,36356219.409,24513500.832,60869720.241,-11842718.577000003,916.025,155727.053,2.8,2.8,2.5,3.3,3.5,0.005882247062108084
2014,Bangladesh,South Asia,40236142.315,30102591.384,70338733.699,-10133550.930999998,1163.04,159405.279,2.8,2.9,2.4,3.7,3.0,0.007296119722609688
2016,Bangladesh,South Asia,44832100.0,34199779.105,79031879.10499999,-10632320.895000003,1458.85,162951.56,2.8,2.9,2.7,3.5,3.2,0.00895266053298293
2018,Bangladesh,South Asia,61500000.0,38470731.876,99970731.876,-23029268.123999998,1744.51,166368.149,2.9,3.1,2.9,3.6,3.3,0.010485841253183624
